GWII	Good Works II Acquisition	Blank Check / SPAC	"288.12M
"	0
GWRE	Guidewire Software	Software	"8.55B
"	0
GWRS	Global Water Resources	Water Utilities	"349.48M
"	0
GWW	W.W. Grainger	Trading Companies & Distributors	"25.50B
"	0
GXII	GX Acquisition II	Blank Check / SPAC	"364.50M
"	0
GXO	GXO Logistics	Specialty Business Services	"9.37B
"	0
GYRO	"""Gyrodyne, LLC"""	Real Estate Management & Development	"19.13M
"	0
HAAC	Health Assurance Acquisition	Blank Check / SPAC	"539.12M
"	0
HAE	Haemonetics	Health Care Equipment & Supplies	"2.50B
"	0
HAFC	Hanmi Financial	Banks	"821.00M
"	0
HAIA	Healthcare AI Acquisition	Blank Check / SPAC	"247.50M
"	0
HAIN	The Hain Celestial Group	Food Products	"3.41B
"	0
HALL	Hallmark Financial Services	Insurance	"76.51M
"	0
HALO	Halozyme Therapeutics	Biotechnology	"4.95B
"	0
HAPP	Happiness Biotech Group	Personal Products	"16.45M
"	0
HARP	Harpoon Therapeutics	Biotechnology	"170.62M
"	0
HASI	Hannon Armstrong Sustainable Infrastructure Capital	Equity Real Estate Investment Trusts...	"3.48B
"	0
HAYN	Haynes International	Metals & Mining	"465.31M
"	0
HAYW	Hayward Holdings	Leisure Products	"4.63B
"	0
HBAN	Huntington Bancshares	Banks	"22.37B
"	0
HBB	Hamilton Beach Brands Holding Company	Household Durables	"191.22M
"	0
HBCP	Home Bancorp	Thrifts & Mortgage Finance	"341.25M
"	0
HBI	Hanesbrands	"""Textiles, Apparel & Luxury Goods"""	"5.65B
"	0
HBNC	Horizon Bancorp	Banks	"915.38M
"	0
HBP	Huttig Building Products	Trading Companies & Distributors	"263.27M
"	0
HBT	HBT Financial	Banks	"547.84M
"	0
HCA	HCA Healthcare	Health Care Providers & Services	"73.82B
"	0
HCAR	Healthcare Services Acquisition	Blank Check / SPAC	"403.24M
"	0
HCAT	Health Catalyst	Health Care Technology	"1.59B
"	0
HCCC	Healthcare Capital	Blank Check / SPAC	"342.72M
"	0
HCCI	Heritage-Crystal Clean	Commercial Services & Supplies	"697.60M
"	0
HCDI	Harbor Custom Development	Real Estate-Development	"36.34M
"	0
HCI	HCI Group	Insurance	"700.53M
"	0
HCIC	Hennessy Capital Investment V	Shell Companies	"421.55M
"	0
HCII	Hudson Executive Investment II	Blank Check / SPAC	"304.69M
"	0
HCKT	The Hackett Group	IT Services	"577.37M
"	0
HCMA	HCM Acquisition	Blank Check / SPAC	"337.50M
"	0
HCP	HashiCorp	Software-Infrastructure	"12.84B
"	0
HCSG	Healthcare Services Group	Commercial Services & Supplies	"1.35B
"	0
HCVI	Hennessy Capital Investment VI	Blank Check / SPAC	"386.00M
"	0
HCWB	HCW Biologics	Biotechnology	"77.53M
"	0
HDB	HDFC Bank	Banks	"126.90B
"	0
HDSN	Hudson Technologies	Commercial Services & Supplies	"167.52M
"	0
HEES	H&E Equipment Services	Trading Companies & Distributors	"1.53B
"	0
HEI	HEICO	Aerospace & Defense	"16.39B
"	0
HEI.A	HEICO	Aerospace & Defense	"16.36B
"	0
HELE	Helen of Troy	Household Durables	"5.06B
"	0
HEPA	Hepion Pharmaceuticals	Pharmaceuticals	"75.87M
"	0
HEPS	D-MARKET Electronic Services & Trading	Internet Retail	"694.38M
"	0
HERA	FTAC Hera Acquisition	Blank Check / SPAC	"1.06B
"	0
HES	Hess Corporation	"""Oil, Gas & Consumable Fuels"""	"28.96B
"	0
HESM	Hess Midstream LP	"""Oil, Gas & Consumable Fuels"""	"1.00B
"	0
HEXO	HEXO Corp.	Pharmaceuticals	"229.40M
"	0
HFBL	Home Federal Bancorp	Thrifts & Mortgage Finance	"67.97M
"	0
HFC	HollyFrontier	"""Oil, Gas & Consumable Fuels"""	"5.98B
"	0
HFWA	Heritage Financial	Banks	"860.44M
"	0
HGBL	Heritage Global	Capital Markets	"62.54M
"	0
HGEN	Humanigen	Biotechnology	"165.93M
"	0
HGSH	China HGS Real Estate	Real Estate Management & Development	"50.21M
"	0
HGTY	Hagerty	Insurance-Property & Casualty	"4.72B
"	0
HGV	Hilton Grand Vacations	"""Hotels, Restaurants & Leisure"""	"5.84B
"	0
HHGC	HHG Capital	Blank Check / SPAC	"69.91M
"	0
HHLA	HH&L Acquisition Co.	Blank Check / SPAC	"501.97M
"	0
HHR	Headhunter Group	Professional Services	"2.36B
"	0
HHS	Harte Hanks	Media	"45.74M
"	0
HI	Hillenbrand	Machinery	"3.37B
"	0
HIBB	Hibbett	Specialty Retail	"864.99M
"	0
HIFS	Hingham Institution for Savings	Thrifts & Mortgage Finance	"822.68M
"	0
HIG	The Hartford Financial Services Group	Insurance	"24.55B
"	0
HIGA	H.I.G. Acquisition	Blank Check / SPAC	"447.65M
"	0
HIHO	Highway Holdings	Machinery	"11.95M
"	0
HII	Huntington Ingalls Industries	Aerospace & Defense	"7.43B
"	0
HIII	Hudson Executive Investment III	Blank Check / SPAC	"729.75M
"	0
HIL	Hill International	Professional Services	"115.62M
"	0
HILS	Hillstream BioPharma	Biotechnology	"44.26M
"	0
HIMS	Hims & Hers Health	Household & Personal Products	"997.13M
"	0
HIVE	HIVE Blockchain Technologies	Capital Markets	"864.68M
"	0
HIW	Highwoods Properties	Equity Real Estate Investment Trusts...	"4.53B
"	0
HKIB	AMTD International	Capital Markets	"2.34B
"	0
HL	Hecla Mining Company	Metals & Mining	"2.74B
"	0
HLAH	Hamilton Lane Alliance Holdings I	Blank Check / SPAC	"316.26M
"	0
HLBZ	Helbiz	Recreational Vehicles	"93.28M
"	0
HLG	Hailiang Education Group	Diversified Consumer Services	"266.55M
"	0
HLGN	Heliogen	Utilities-Renewable	"650.95M
"	0
HLI	Houlihan Lokey	Capital Markets	"7.25B
"	0
HLIO	Helios Technologies	Machinery	"2.50B
"	0
HLIT	Harmonic	Communications Equipment	"945.68M
"	0
HLLY	Holley	Auto Parts	"1.39B
"	0
HLMN	Hillman Solutions	Tools & Accessories	"1.71B
"	0
HLNE	Hamilton Lane	Capital Markets	"3.38B
"	0
HLTH	Cue Health	Health Information Services	"1.35B
"	0
HLX	Helix Energy Solutions Group	Energy Equipment & Services	"582.43M
"	0
HLXA	Helix Acquisition	Blank Check / SPAC	"148.05M
"	0
HMA	Heartland Media Acquisition	Blank Check / SPAC	"218.97M
"	0
HMCO	HumanCo Acquisition	Blank Check / SPAC	"375.92M
"	0
HMLP	"""Hoegh Lng Partners, LP"""	"""Oil, Gas & Consumable Fuels"""	"146.17M
"	0
HMN	Horace Mann Educators	Insurance	"1.56B
"	0
HMNF	HMN Financial	Thrifts & Mortgage Finance	"111.38M
"	0
HMPT	Home Point Capital	Mortgage Finance	"560.90M
"	0
HMST	HomeStreet	Thrifts & Mortgage Finance	"982.17M
"	0
HMTV	Hemisphere Media Group	Media	"261.76M
"	0
HMY	Harmony Gold Mining Company	Metals & Mining	"2.22B
"	0
HNGR	Hanger	Health Care Providers & Services	"684.76M
"	0
HNI	HNI Corporation	Commercial Services & Supplies	"1.83B
"	0
HNNA	Hennessy Advisors	Capital Markets	"78.52M
"	0
HNP	Huaneng Power International	Independent Power and Renewable Elect...	"8.33B
"	0
HNRG	Hallador Energy Company	"""Oil, Gas & Consumable Fuels"""	"75.00M
"	0
HOFV	Hall of Fame Resort & Entertainment Company	Entertainment	"109.76M
"	0
HOLI	HollySys Automation Technologies	"""Electronic Equipment, Instruments & C..."""	"828.44M
"	0
HOLX	Hologic	Health Care Equipment & Supplies	"17.72B
"	0
HOMB	Home Bancshares	Banks	"3.90B
"	0
HONE	HarborOne Bancorp	Banks	"750.23M
"	0
HOOK	HOOKIPA Pharma	Biotechnology	"46.14M
"	0
HORI	Emerging Markets Horizon	Blank Check / SPAC	"313.75M
"	0
HOTH	Hoth Therapeutics	Pharmaceuticals	"13.67M
"	0
HOV	Hovnanian Enterprises	Household Durables	"609.98M
"	0
HOWL	Werewolf Therapeutics	Biotechnology	"234.70M
"	0
HP	Helmerich & Payne	Energy Equipment & Services	"3.26B
"	0
HPE	Hewlett-Packard Enterprise Company	"""Technology Hardware, Storage & Periph..."""	"21.74B
"	0
HPK	HighPeak Energy	Oil & Gas E&P	"1.74B
"	0
HPLT	Home Plate Acquisition	Blank Check / SPAC	"243.00M
"	0
HPP	Hudson Pacific Properties	Equity Real Estate Investment Trusts...	"3.66B
"	0
HPQ	HP Inc.	"""Technology Hardware, Storage & Periph..."""	"40.56B
"	0
HPX	HPX Corp.	Shell Companies	"312.57M
"	0
HQI	HireQuest	Professional Services	"250.53M
"	0
HQY	HealthEquity	Health Care Providers & Services	"4.48B
"	0
HRB	H&R Block	Diversified Consumer Services	"4.07B
"	0
HRI	Herc Holdings	Trading Companies & Distributors	"4.87B
"	0
HRL	Hormel Foods	Food Products	"25.56B
"	0
HRMY	Harmony Biosciences Holdings	Biotechnology	"2.20B
"	0
HROW	Harrow Health	Pharmaceuticals	"213.88M
"	0
HRT	HireRight Holdings	Staffing & Employment Services	"1.13B
"	0
HRTG	Heritage Insurance Holdings	Insurance	"169.23M
"	0
HRTX	Heron Therapeutics	Biotechnology	"896.01M
"	0
HRZN	Horizon Technology Finance	Capital Markets	"322.14M
"	0
HSAQ	Health Sciences Acquisitions Corp. 2	Blank Check / SPAC	"201.64M
"	0
HSBC	HSBC Holdings	Banks	"149.54B
"	0
HSC	Harsco	Machinery	"1.26B
"	0
HSDT	Helius Medical Technologies	Health Care Equipment & Supplies	"15.84M
"	0
HSIC	Henry Schein	Health Care Providers & Services	"10.53B
"	0
HSKA	Heska	Health Care Equipment & Supplies	"1.48B
"	0
HSON	Hudson Global	Professional Services	"84.66M
"	0
HST	Host Hotels & Resorts	Equity Real Estate Investment Trusts...	"12.40B
"	0
HSTM	HealthStream	Health Care Technology	"763.81M
"	0
HSTO	Histogen	Biotechnology	"11.99M
"	0
HSY	The Hershey Company	Food Products	"40.32B
"	0
HT	Hersha Hospitality Trust	Equity Real Estate Investment Trusts...	"360.56M
"	0
HTA	Healthcare Trust of America	Equity Real Estate Investment Trusts...	"7.15B
"	0
HTAQ	Hunt Companies Acquisition I	Blank Check / SPAC	"285.77M
"	0
HTBI	HomeTrust Bancshares	Banks	"506.55M
"	0
HTBK	Heritage Commerce	Banks	"749.42M
"	0
HTBX	Heat Biologics	Biotechnology	"75.96M
"	0
HTGC	Hercules Capital	Capital Markets	"2.09B
"	0
HTGM	HTG Molecular Diagnostics	Health Care Technology	"22.16M
"	0
HTH	Hilltop Holdings	Banks	"2.60B
"	0
HTHT	Huazhu Group	"""Hotels, Restaurants & Leisure"""	"12.75B
"	0
HTLD	Heartland Express	Road & Rail	"1.18B
"	0
HTLF	Heartland Financial USA	Banks	"2.09B
"	0
HTOO	Fusion Fuel Green	Utilities-Renewable	"68.90M
"	0
HTPA	Highland Transcend Partners I	Blank Check / SPAC	"343.25M
"	0
HTZ	Hertz Global Holdings	Rental & Leasing Services	"9.24B
"	0
HUBB	Hubbell	Electrical Equipment	"10.26B
"	0
HUBG	Hub Group	Air Freight & Logistics	"2.64B
"	0
HUBS	HubSpot	Software	"23.17B
"	0
HUDI	Huadi International Group Co.	Steel	"273.52M
"	0
HUGS	USHG Acquisition	Blank Check / SPAC	"369.33M
"	0
HUIZ	Huize Holding	Insurance Brokers	"64.40M
"	0
HUMA	Humacyte	Biotechnology	"569.61M
"	0
HUN	Huntsman	Chemicals	"7.93B
"	0
HURC	Hurco Companies	Machinery	"222.26M
"	0
HURN	Huron Consulting Group	Professional Services	"977.31M
"	0
HUSA	Houston American Energy	"""Oil, Gas & Consumable Fuels"""	"11.91M
"	0
HUSN	Hudson Capital	Capital Markets	"15.41M
"	0
HUYA	HUYA Inc.	Entertainment	"1.60B
"	0
HVBC	HV Bancorp	Thrifts & Mortgage Finance	"45.47M
"	0
HVT	Haverty Furniture Companies	Specialty Retail	"531.45M
"	0
HWBK	Hawthorn Bancshares	Banks	"170.06M
"	0
HWC	Hancock Whitney	Banks	"4.67B
"	0
HWEL	Healthwell Acquisition I	Blank Check / SPAC	"299.69M
"	0
HWKN	Hawkins	Chemicals	"791.09M
"	0
HWKZ	Hawks Acquisition	Blank Check / SPAC	"243.75M
"	0
HWM	Howmet Aerospace	Aerospace & Defense	"13.51B
"	0
HXL	Hexcel	Aerospace & Defense	"4.50B
"	0
HY	Hyster-Yale Materials Handling	Machinery	"688.56M
"	0
HYAC	Haymaker Acquisition III	Blank Check / SPAC	"390.92M
"	0
HYMC	Hycroft Mining Holding	Gold	"25.37M
"	0
HYPR	Hyperfine	Medical Devices	"26.04M
"	0
HYRE	HyreCar	Diversified Consumer Services	"77.00M
"	0
HYW	Hywin Holdings	Asset Management	"155.40M
"	0
HYZN	Hyzon Motors	Auto Manufacturers	"1.35B
"	0
HZN	Horizon Global	Auto Components	"208.47M
"	0
HZNP	Horizon Therapeutics	Pharmaceuticals	"21.40B
"	0
HZO	MarineMax	Specialty Retail	"1.04B
"	0
HZON	Horizon Acquisition II	Blank Check / SPAC	"645.75M
"	0
IAA	"""IAA, Inc."""	Commercial Services & Supplies	"6.24B
"	0
IAC	IAC/InterActiveCorp	Interactive Media & Services	"12.13B
"	0
IACC	ION Acquisition 3	Blank Check / SPAC	"316.04M
"	0
IAG	Iamgold	Metals & Mining	"1.21B
"	0
IART	Integra LifeSciences Holdings	Health Care Equipment & Supplies	"5.45B
"	0
IBA	"""Industrias Bachoco, S.A.B. de C.V."""	Food Products	"2.06B
"	0
IBCP	Independent Bank	Banks	"515.94M
"	0
IBER	Ibere Pharmaceuticals	Blank Check / SPAC	"169.22M
"	0
IBEX	IBEX Limited	Software	"270.05M
"	0
IBIO	"""iBio, Inc."""	Biotechnology	"98.78M
"	0
IBN	ICICI Bank	Banks	"76.00B
"	0
IBOC	International Bancshares	Banks	"2.69B
"	0
IBP	Installed Building Products	Household Durables	"3.31B
"	0
IBRX	ImmunityBio	Biotechnology	"2.42B
"	0
IBTX	Independent Bank Group	Banks	"3.28B
"	0
ICAD	"""iCAD, Inc."""	Health Care Technology	"140.86M
"	0
ICCC	ImmuCell	Biotechnology	"62.48M
"	0
ICCH	ICC Holdings	Insurance	"55.15M
"	0
ICCM	IceCure Medical	Medical Care Facilities	"92.69M
"	0
ICD	Independence Contract Drilling	Energy Equipment & Services	"31.56M
"	0
ICFI	ICF International	Professional Services	"1.76B
"	0
ICHR	Ichor Holdings	Semiconductors & Semiconductor Equipment	"1.21B
"	0
ICL	ICL Group	Chemicals	"12.05B
"	0
ICLK	iClick Interactive Asia Group	Media	"322.26M
"	0
ICLR	ICON plc	Life Sciences Tools & Services	"21.39B
"	0
ICMB	Investcorp Credit Management BDC	Capital Markets	"74.22M
"	0
ICNC	Iconic Sports Acquisition	Blank Check / SPAC	"359.60M
"	0
ICPT	Intercept Pharmaceuticals	Biotechnology	"499.64M
"	0
ICUI	ICU Medical	Health Care Equipment & Supplies	"5.07B
"	0
ICVX	Icosavax	Biotechnology	"637.94M
"	0
IDA	IDACORP	Electric Utilities	"5.47B
"	0
IDAI	T Stamp	Software-Application	"140.01M
"	0
IDBA	IDEX Biometrics ASA	Software-Application	"272.00M
"	0
IDCC	InterDigital	Communications Equipment	"2.07B
"	0
IDEX	Ideanomics	Software	"552.43M
"	0
IDN	Intellicheck	"""Electronic Equipment, Instruments & C..."""	"76.10M
"	0
IDRA	Idera Pharmaceuticals	Biotechnology	"31.68M
"	0
IDT	IDT Corporation	Diversified Telecommunication Services	"995.70M
"	0
IDW	IDW Media Holdings	Publishing	"27.12M
"	0
IDXX	IDEXX Laboratories	Health Care Equipment & Supplies	"43.54B
"	0
IDYA	IDEAYA Biosciences	Biotechnology	"658.30M
"	0
IEA	Infrastructure & Energy Alternatives	Construction & Engineering	"442.81M
"	0
IEP	Icahn Enterprises	Industrial Conglomerates	"15.24B
"	0
IESC	IES Holdings	Construction & Engineering	"1.02B
"	0
IEX	IDEX Corporation	Machinery	"16.44B
"	0
IFBD	Infobird	Software-Application	"22.98M
"	0
IFIN	InFinT Acquisition	Blank Check / SPAC	"256.01M
"	0
IFRX	InflaRx	Biotechnology	"162.16M
"	0
IFS	Intercorp Financial Services	Banks-Regional	"3.56B
"	0
IGAP	Integrity Applications	Health Care Equipment & Supplies	"51.29M
"	0
IGIC	International General Insurance Holdings	Insurance-Diversified	"387.17M
"	0
IGMS	IGM Biosciences	Biotechnology	"577.17M
"	0
IGNY	Ignyte Acquisition	Blank Check / SPAC	"71.20M
"	0
IGT	International Game Technology	Gambling	"5.67B
"	0
IGTA	Inception Growth Acquisition	Blank Check / SPAC	"119.07M
"	0
IH	iHuman	Education & Training Services	"145.58M
"	0
IHC	Independence Holding Company	Insurance	"840.88M
"	0
IHG	InterContinental Hotels Group	"""Hotels, Restaurants & Leisure"""	"12.53B
"	0
IHRT	iHeartMedia	Media	"2.78B
"	0
IHS	IHS Holding	Telecom Services	"3.95B
"	0
IHT	InnSuites Hospitality Trust	Equity Real Estate Investment Trusts...	"29.37M
"	0
IIII	Insu Acquisition III	Blank Check / SPAC	"334.18M
"	0
IIIN	Insteel Industries	Building Products	"773.44M
"	0
IIIV	i3 Verticals	IT Services	"538.42M
"	0
IIN	IntriCon	Health Care Equipment & Supplies	"138.88M
"	0
IIPR	Innovative Industrial Properties	Equity Real Estate Investment Trusts...	"4.74B
"	0
IIVI	II-VI	"""Electronic Equipment, Instruments & C..."""	"6.76B
"	0
IKNA	Ikena Oncology	Biotechnology	"412.38M
"	0
IKT	Inhibikase Therapeutics	Biotechnology	"35.25M
"	0
ILMN	Illumina	Life Sciences Tools & Services	"55.71B
"	0
ILPT	Industrial Logistics Properties Trust	Equity Real Estate Investment Trusts...	"1.50B
"	0
IMAB	I-Mab	Biotechnology	"2.13B
"	0
IMAC	IMAC Holdings	Health Care Providers & Services	"34.59M
"	0
IMAQ	International Media Acquisition	Blank Check / SPAC	"291.18M
"	0
IMAX	IMAX Corporation	Entertainment	"1.10B
"	0
IMBI	iMedia Brands	Internet & Direct Marketing Retail	"118.37M
"	0
IMCR	Immunocore Holdings	Biotechnology	"1.09B
"	0
IMGN	ImmunoGen	Biotechnology	"1.27B
"	0
IMGO	Imago BioSciences	Biotechnology	"669.23M
"	0
IMH	Impac Mortgage Holdings	Thrifts & Mortgage Finance	"19.41M
"	0
IMKTA	"""Ingles Markets,"""	Food & Staples Retailing	"1.46B
"	0
IMMP	Immutep	Biotechnology	"220.71M
"	0
IMMX	Immix Biopharma	Biotechnology	"34.92M
"	0
IMNM	Immunome	Biotechnology	"109.51M
"	0
IMOS	ChipMOS Technologies	Semiconductors & Semiconductor Equipment	"1.21B
"	0
IMPL	Impel NeuroPharma	Biotechnology	"200.21M
"	0
IMPP	Imperial Petroleum	Oil & Gas E&P	"4.46M
"	0
IMPX	AEA-Bridges Impact	Blank Check / SPAC	"493.25M
"	0
IMRA	IMARA	Biotechnology	"36.79M
"	0
IMRN	Immuron	Biotechnology	"23.69M
"	0
IMRX	Immuneering	Biotechnology	"271.62M
"	0
IMTE	Integrated Media Technology	"""Electronic Equipment, Instruments & C..."""	"68.85M
"	0
IMTX	Immatics	Biotechnology	"622.17M
"	0
IMUX	Immunic	Biotechnology	"366.44M
"	0
IMV	IMV Inc.	Biotechnology	"95.29M
"	0
IMVT	Immunovant	Biotechnology	"803.85M
"	0
INAB	IN8bio	Biotechnology	"67.14M
"	0
INAQ	Insight Acquisition	Blank Check / SPAC	"291.30M
"	0
INBK	First Internet Bancorp	Banks	"492.11M
"	0
INBX	Inhibrx	Biotechnology	"1.04B
"	0
INCR	Intercure	Drug Manufacturers-Specialty & Generic	"287.29M
"	0
INCY	Incyte	Biotechnology	"16.61B
"	0
INDB	Independent Bank	Banks	"3.98B
"	0
INDO	Indonesia Energy	"""Oil, Gas & Consumable Fuels"""	"32.85M
"	0
INDP	Indaptus Therapeutics	Biotechnology	"40.72M
"	0
INDT	INDUS Realty Trust	Equity Real Estate Investment Trusts...	"779.43M
"	0
INFA	Informatica	Software	"7.89B
"	0
INFI	Infinity Pharmaceuticals	Biotechnology	"113.94M
"	0
INFN	Infinera	Communications Equipment	"1.77B
"	0
INFO	IHS Markit	Professional Services	"46.88B
"	0
INFU	InfuSystem Holdings	Health Care Providers & Services	"310.77M
"	0
INFY	Infosys	IT Services	"98.58B
"	0
ING	ING Group	Banks	"56.86B
"	0
INGN	Inogen	Health Care Equipment & Supplies	"677.63M
"	0
INGR	Ingredion	Food Products	"6.34B
"	0
INKA	KludeIn I Acquisition	Blank Check / SPAC	"213.04M
"	0
INKT	MiNK Therapeutics	Biotechnology	"120.95M
"	0
INM	InMed Pharmaceuticals	Biotechnology	"16.75M
"	0
INMB	Inmune Bio	Biotechnology	"185.93M
"	0
INMD	InMode	Health Care Equipment & Supplies	"3.83B
"	0
INN	Summit Hotel Properties	Equity Real Estate Investment Trusts...	"1.01B
"	0
INNV	Innovage Holding	Medical Care Facilities	"701.98M
"	0
INO	Inovio Pharmaceuticals	Biotechnology	"868.89M
"	0
INOD	Innodata	IT Services	"155.86M
"	0
INPX	Inpixon	IT Services	"59.09M
"	0
INSE	Inspired Entertainment	"""Hotels, Restaurants & Leisure"""	"378.18M
"	0
INSG	Inseego	Communications Equipment	"476.22M
"	0
INSM	Insmed	Biotechnology	"2.81B
"	0
INSP	Inspire Medical Systems	Health Care Technology	"6.09B
"	0
INST	Instructure Holdings	Software-Application	"3.34B
"	0
INSW	International Seaways	"""Oil, Gas & Consumable Fuels"""	"752.61M
"	0
INT	World Fuel Services	"""Oil, Gas & Consumable Fuels"""	"1.89B
"	0
INTA	Intapp	Software-Application	"1.24B
"	0
INTE	Integral Acquisition 1	Blank Check / SPAC	"123.00M
"	0
INTG	The InterGroup Corporation	Real Estate Management & Development	"119.42M
"	0
INTT	inTEST	Semiconductors & Semiconductor Equipment	"115.91M
"	0
INTU	Intuit	Software	"158.81B
"	0
INTZ	Intrusion	Software	"66.34M
"	0
INUV	Inuvo	Software	"51.88M
"	0
INVA	Innoviva	Pharmaceuticals	"1.10B
"	0
INVE	Identiv	"""Electronic Equipment, Instruments & C..."""	"430.81M
"	0
INVO	INVO Bioscience	Health Care Equipment & Supplies	"39.19M
"	0
INVZ	Innoviz Technologies	Auto Parts	"562.85M
"	0
INZY	Inozyme Pharma	Biotechnology	"158.32M
"	0
IO	ION Geophysical	Energy Equipment & Services	"17.68M
"	0
IOAC	Innovative International Acquisition	Blank Check / SPAC	"319.17M
"	0
IOBT	IO Biotech	Biotechnology	"218.93M
"	0
IONM	Assure Holdings	Medical Care Facilities	"55.63M
"	0
IONS	Ionis Pharmaceuticals	Biotechnology	"4.45B
"	0
IOR	Income Opportunity Realty Investors	Thrifts & Mortgage Finance	"47.10M
"	0
IOSP	Innospec	Chemicals	"2.30B
"	0
IOT	Samsara	Software-Infrastructure	"10.62B
"	0
IOVA	Iovance Biotherapeutics	Biotechnology	"2.66B
"	0
IPA	ImmunoPrecise Antibodies	Biotechnology	"117.45M
"	0
IPAR	Inter Parfums	Personal Products	"3.15B
"	0
IPAX	Inflection Point Acquisition	Blank Check / SPAC	"361.88M
"	0
IPDN	Professional Diversity Network	Staffing & Employment Services	"17.35M
"	0
IPG	The Interpublic Group of Companies	Media	"14.25B
"	0
IPGP	IPG Photonics	"""Electronic Equipment, Instruments & C..."""	"8.09B
"	0
IPHA	Innate Pharma	Biotechnology	"307.63M
"	0
IPI	Intrepid Potash	Chemicals	"560.98M
"	0
IPOD	Social Capital Hedosophia Holdings IV	Blank Check / SPAC	"566.95M
"	0
IPSC	Century Therapeutics	Biotechnology	"700.15M
"	0
IPVA	InterPrivate II Acquisition	Blank Check / SPAC	"316.00M
"	0
IPVF	InterPrivate III Financial Partners	Blank Check / SPAC	"330.04M
"	0
IPVI	InterPrivate IV InfraTech Partners	Blank Check / SPAC	"350.39M
"	0
IPW	iPower	Internet Retail	"50.33M
"	0
IPWR	Ideal Power	Electrical Equipment	"57.15M
"	0
IQMD	Intelligent Medicine Acquisition	Blank Check / SPAC	"280.67M
"	0
IQV	IQVIA Holdings	Life Sciences Tools & Services	"47.21B
"	0
IRCP	IRSA Propiedades Comerciales	Real Estate Management & Development	"324.74M
"	0
IRDM	Iridium Communications	Diversified Telecommunication Services	"4.61B
"	0
IREN	Iris Energy	Capital Markets	"761.15M
"	0
IRIX	IRIDEX	Health Care Equipment & Supplies	"87.26M
"	0
IRM	Iron Mountain	Equity Real Estate Investment Trusts...	"13.35B
"	0
IRMD	IRadimed	Health Care Equipment & Supplies	"493.80M
"	0
IRNT	IronNet	Software-Infrastructure	"305.19M
"	0
IRT	Independence Realty Trust	Equity Real Estate Investment Trusts...	"5.11B
"	0
IRTC	iRhythm Technologies	Health Care Equipment & Supplies	"3.71B
"	0
IRWD	Ironwood Pharmaceuticals	Biotechnology	"1.82B
"	0
ISAA	Iron Spark I	Blank Check / SPAC	"219.53M
"	0
ISBC	Investors Bancorp	Banks	"4.16B
"	0
ISDR	Issuer Direct	Software	"115.74M
"	0
ISEE	IVERIC bio	Biotechnology	"1.65B
"	0
ISIG	Insignia Systems	Media	"23.43M
"	0
ISLE	Isleworth Healthcare Acquisition	Blank Check / SPAC	"257.98M
"	0
ISO	IsoPlexis	Medical Devices	"244.64M
"	0
ISPC	iSpecimen	Diagnostics & Research	"42.34M
"	0
ISR	IsoRay	Biotechnology	"53.91M
"	0
ISRG	Intuitive Surgical	Health Care Equipment & Supplies	"102.35B
"	0
ISTR	Investar Holding	Banks	"202.37M
"	0
ISUN	"""iSun, Inc."""	Solar	"63.78M
"	0
IT	Gartner	IT Services	"24.32B
"	0
ITAQ	Industrial Tech Acquisitions II	Blank Check / SPAC	"187.22M
"	0
ITCB	Itau Corpbanca	Banks	"2.15B
"	0
ITCI	Intra-Cellular Therapies	Pharmaceuticals	"4.48B
"	0
ITGR	Integer Holdings	Health Care Equipment & Supplies	"2.61B
"	0
ITHX	ITHAX Acquisition	Blank Check / SPAC	"302.45M
"	0
ITI	Iteris	"""Electronic Equipment, Instruments & C..."""	"166.36M
"	0
ITIC	Investors Title Company	Insurance	"373.73M
"	0
ITOS	iTeos Therapeutics	Biotechnology	"1.33B
"	0
ITP	IT Tech Packaging	Paper & Forest Products	"19.85M
"	0
ITQ	Itiquira Acquisition	Blank Check / SPAC	"278.88M
"	0
ITRG	Integra Resources	Other Precious Metals & Mining	"122.40M
"	0
ITRI	Itron	"""Electronic Equipment, Instruments & C..."""	"2.76B
"	0
ITRM	Iterum Therapeutics	Pharmaceuticals	"68.91M
"	0
ITT	ITT Inc.	Machinery	"7.94B
"	0
ITUB	Itau Unibanco Holding	Banks	"46.85B
"	0
ITW	Illinois Tool Works	Machinery	"73.15B
"	0
IVA	Inventiva	Biotechnology	"522.93M
"	0
IVAC	Intevac	"""Technology Hardware, Storage & Periph..."""	"134.39M
"	0
IVAN	Ivanhoe Capital Acquisition	Blank Check / SPAC	"280.48M
"	0
IVC	Invacare	Health Care Equipment & Supplies	"79.84M
"	0
IVCP	Swiftmerge Acquisition	Blank Check / SPAC	"248.00M
"	0
IVR	Invesco Mortgage Capital	Mortgage Real Estate Investment Trus...	"835.47M
"	0
IVT	InvenTrust Properties	REIT-Retail	"1.90B
"	0
IVZ	Invesco	Capital Markets	"10.34B
"	0
IX	ORIX Corporation	Diversified Financial Services	"24.89B
"	0
IXAQ	IX Acquisition	Blank Check / SPAC	"242.50M
"	0
IZEA	IZEA Worldwide	Interactive Media & Services	"74.40M
"	0
J	Jacobs Engineering Group	Construction & Engineering	"16.84B
"	0
JACK	Jack in the Box	"""Hotels, Restaurants & Leisure"""	"1.92B
"	0
JAGX	Jaguar Health	Pharmaceuticals	"38.79M
"	0
JAKK	JAKKS Pacific	Leisure Products	"88.10M
"	0
JAMF	Jamf Holding	Software	"4.05B
"	0
